author,original_text,date,source_name,source_link,validated
Medieval Arabic female poets,"<p>In the surviving historical record, <b>medieval Arabic female poets</b> are few compared with the number of known male Arabic-language poets, and many compared with the number of the very few women who wrote in any European language traditions of the same time periods. Within Arabic literature, there has been ""an almost total eclipse of women's poetic expression in the literary record as maintained in Arabic culture from the pre-Islamic era through the nineteenth century"". However, there is evidence that, compared with the medieval poetry of Europe, women's poetry in the medieval Islamic world was ""unparalleled"" in ""visibility and impact"". Accordingly, since the beginning of the twenty-first century, scholars have emphasised that women's contribution to Arabic literature requires greater scholarly attention.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Medieval_Arabic_female_poets,False
Al-Fari'ah bint Shaddad,"Al-Murriyah's marthiyah

O my eye, be generous to Masʿūd son of Shaddād
with every teary gland
whose grief is manifest.
O whoever sees a lightning-flashing cloud
that I have gazed for through the night
pouring profuse rain upon the riverbed‘s
black basalt track.
With it would I water the grave of him I intend,
him whose grave is dear to me
though he were unredeemed.
Attester at councils, erector of edifices,
bracer of banners, burner of dams,
Slitter of camel throats, slayer of tyrants,
alighter on hilltops, breaker of bonds,
Orator of the eloquent, revolter of the ratified,
obstructor of water holes, dispeller of doubt,
Alighter at pasturelands, endurer of hardships,
dispeller of horrors, scaler of heights,
Gatherer of all virtues--as all who knew him knew--
his comrades’ ornament, the tyrant‘s scourge.
O Abū Zurārah, do not be distant!
For every youth will one day be hostage
to stone slab and wooden bier.
O Banū Jarm. did you give your prisoner no drink?
May my soul be your ransom, O Masʿūd,
from a burning thirst!
The thruster of the wide-gashing thrust
that is followed by a profuse gush
after a boiling froth.
Who leaves his opponent with fingertips jaundiced.
and his clothes as if
mulberry-spattered.
The buyer of wineskins for guests
that alight in his courtyard.
to the destitute,
abundant morning rain.",500,Wikipedia,https://en.wikipedia.org/wiki/Al-Fari%27ah_bint_Shaddad,False
Hind bint al-Khuss,"<p><b>Hind bint al-Khuss al-Iyādiyya</b> (Arabic: <span lang=""ar"" dir=""rtl"">هند بنت الخس الإيادية</span>, also <b>Hind ibnat al-Khuss al-Iyādiyya</b>) is a legendary pre-Islamic female poet. While older scholarship supposed that Hind was a real person, recent research views her as an entirely legendary figure. Stories surrounding Hind focus on her eloquent responses to questions, sometimes in verse, sometimes in <i>sajʿ</i> (rhyming prose), and sometimes in prose, regarding gender, marriage, plants, animals or weather.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Hind_bint_al-Khuss,False
'A'isha al-Ba'uniyya,"<p><b>ʿĀʾishah bint Yūsuf al-Bāʿūniyyah</b> (Arabic: <span lang=""ar"" dir=""rtl"">عائشة بنت يوسف الباعونية</span>, died the sixteenth day of Dhū al-Qa‘dah, 922/1517) was a Sufi master and poet. She is one of few female medieval Islamic mystics to have recorded their own views in writing, and she ""probably composed more works in Arabic than any other woman prior to the twentieth century."" Some of her works have been translated to English in the 21st century. ""In her the literary talents and Ṣūfi tendencies of her family reached full fruition."" She was born and died in Damascus.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/%27A%27isha_al-Ba%27uniyya,False
Christine de Pizan,"<p class=""mw-empty-elt"">
</p>
 

<p><b>Christine de Pizan</b> or <b>Pisan</b> (<span>French:</span> <span lang=""fr-Latn-fonipa"">[kʁistin<span> </span>də<span> </span>pizɑ̃]</span> <span></span>, <span>Middle French:</span> <span lang=""frm-Latn-fonipa"">[krisˈtinə<span> </span>də<span> </span>piˈzã]</span>; born <b>Cristina da Pizzano</b>; September 1364 – <abbr title=""circa"">c.</abbr><span> 1430</span>), was an Italian-born French court writer for King Charles VI of France and several French royal dukes, in both prose and poetry.
</p><p>Christine de Pizan served as a court writer in medieval France after the death of her husband. Christine's patrons included dukes Louis I of Orleans, Philip the Bold of Burgundy, and his son John the Fearless. Considered to be some of the earliest feminist writings, her work includes novels, poetry, and biography, and she also penned literary, historical, philosophical, political, and religious reviews and analyses. Her best known works are <i>The Book of the City of Ladies</i> and <i>The Treasure of the City of Ladies</i>, both prose works written when she worked for John the Fearless of Burgundy. Her books of advice to princesses, princes, and knights remained in print until the 16th century.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Christine_de_Pizan,False
Clara d'Anduza,"<p><b>Clara d'Anduza</b> was a trobairitz from the first third of the 13th century, probably born to the ruling family of Anduze. Her only surviving work is a <i>canso</i> beginning <i>En greu esmay et en greu pessamen (""In grave distress and great trouble"")</i>. This poem describes her suffering and attributes her separation from her <i>amic</i> to the harm done by slanderers (<i>lauzingier</i>). The poem connects to other common motifs in other works by women troubadour: unfailing infidelity, self-reflexivity, and metaphors representing love, pain, and desire. She was mentioned in a long <i>razo</i> to a <i>canso</i> of Uc de Saint Circ and was probably the addressee of a <i>salut</i> of Azalais d'Altier. A narrative commentary on Uc de Saint Circ's ""Anc mais non vi temps ni sanzo"" identifies Uc as Clara's secretary and would-be lover. She was probably acquainted with Pons de Capduelh.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Clara_d%27Anduza,False
Comtessa de Dia,"<p>The <b>Comtessa de Dia</b> (Countess of Die), possibly named <b>Beatritz</b> or <b>Isoarda</b> (fl. c. 1175 or c. 1212), was a trobairitz (female troubadour).
</p><p>She is only known as the <i>comtessa de Dia</i> in contemporary documents, but was most likely the daughter of Count Isoard II of  Diá (a town northeast of Montelimar now known as Die in southern France). According to her <i>vida</i>, she was married to William of Poitiers, but was in love with and sang about Raimbaut of Orange (1146-1173). Bruckner, Shepard, and White cite Angela Rieger's analysis of the songs, which associates them, through intertextual evidence, with the circle of poets composed of Raimbaut d'Aurenga, Bernart de Ventadorn, and Azalais de Porcairagues. Marcelle Thiébaux, and Claude Marks have associated her not with Raimbaut d'Aurenga but with his nephew or great nephew of the same name. If her songs are addressed to Raimbaut d'Aurenga's nephew Raimbaut IV, the <i>Comtessa de Dia</i> may have been urging the latter to support Raymond V of Toulouse.
</p><p>It has been hypothesised that the <i>Comtessa de Dia</i> was in fact married to Guillem's son, Ademar de Peiteus, whose wife's name was Philippa de Fay, and that her real lover was Raimbaut de Vaqueiras.
</p>

<p>Five of the Comtessa's works survive, including 4 cansos and 1 tenson. Scholars have debated whether or not the Comtessa authored <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">Amics, en greu consirier</i></span></i>, a tenso typically attributed to Raimbaut d'Aurenga. One reason for this is the similarities between this composition and her own <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">Estat ai en greu consirier</i></span></i>. A second reason references the words in her <i>vida</i>, <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">Et enamoret se d'En Rambaut d' Aurenga, e fez de lui mantas bonas cansos</i></span></i> (""And she fell in love with Sir Raimbaut d'Aurenga, and made about him many good <i>cansos</i>"").
</p><p>A tenso between Giraut de Bornelh and Alamanda de Castelnau closely matches the structure of <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">A chantar m'er de so qu'ieu non volria</i></span></i> (""I must sing a song I'd rather not""). The phrase in it, <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">vestida ni nuda</i></span></i> (""dressed nor nude"") echoes <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">en lieig e quand sui vestida</i></span></i> (""in bed and when I am dressed"") in <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">Estat ai en greu cossirier</i></span></i> (""I dwell in sorrow""). The tenso may have been composed as a response to these songs.
</p><p>Her song <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">A chantar m'er de so qu'eu no volria</i></span></i> in the Occitan language is the only <i>canso</i> by a <i>trobairitz</i> to survive with its music intact. The music to <i>A chantar</i> is found only in <i>Le Manuscript du roi</i> (f. 204r-v)<i>,</i> a collection of songs copied around 1270 for Charles of Anjou, the brother of Louis IX.
</p><p>Her extant poems are:
</p>
<dl><dd><ul><li><i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">Ab joi et ab joven m'apais</i></span></i></li>
<li><i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">A chantar m'er de so qu'ieu non volria</i></span></i></li>
<li><i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">Estât ai en greu cossirier</i></span></i></li>
<li><i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">Fin ioi me don'alegranssa</i></span></i></li></ul></dd></dl>
<p>Typical subject matter used by Comtessa de Dia in her lyrics includes optimism, praise of herself and her love, as well as betrayal. In <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">A chantar</i></span></i>, Comtessa plays the part of a betrayed lover, and although she has been betrayed, continues to defend and praise herself. In <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">Fin ioi me don'alegranssa</i></span></i>, however, the Comtessa makes fun of the <span title=""Occitan (post 1500)-language text""><i lang=""oc"">lausengier</i></span>, a person known for gossiping, comparing those who gossip to a ""cloud that obscures the sun."" In writing style, Comtessa uses a process known as <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">coblas singulars</i></span></i> in <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">A chantar</i></span></i>, repeating the same rhyme scheme in each strophe, but changing the <i>a</i> rhyme each strophe. <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">Ab ioi</i></span></i>, on the other hand, uses <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">coblas doblas</i></span></i>, changing the rhyme sounds every two strophes, with a rhyme scheme of ab' ab' b' aab'. <i><span title=""Occitan (post 1500)-language text""><i lang=""oc"">A chantar</i></span></i> uses some of the motifs of Idyll II of Theocritus.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Comtessa_de_Dia,False
Eucheria,"<p><b>Eucheria</b> was a Roman poet who was active sometime in the late 5th to early 6th centuries AD. Along with Sulpicia, she was a rare example of a Roman female satirist. 
</p><p>One poem of hers survives, an epigram that ridicules a lower-class suitor. The poem is composed of 16 elegiac couplets, which play on the theme of courtship between classes with the juxtaposition of objects of high and low quality, such as a ""noble Punic tunic and an awful shaggy rag."" Vocabulary in the poem suggests that she may have been from Gaul, particularly the court in Aquitania. Attempts to identify her with historically attested women named Eucheria active in Late Antique Gaul have been inconclusive.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Eucheria,False
"Garsenda, Countess of Forcalquier","<p><b>Garsenda</b> (French: <i lang=""fr"">Garsende</i>; <abbr title=""circa"">c.</abbr> 1180 – <abbr title=""circa"">c.</abbr> 1242/1257) was the Countess of Provence as the wife of Alfonso II from 1193 and the Countess of Forcalquier in her own right from 1209, which was subsequently united with that of Provence. She was also a patron of Occitan literature, especially the troubadours, and herself wrote some lyric poetry and is counted among the trobairitz as <i>Garsenda de Proensa</i>. She was, in the words of her most recent editors, ""one of the most powerful women in Occitan history"".
</p>",,Wikipedia,"https://en.wikipedia.org/wiki/Garsenda,_Countess_of_Forcalquier",False
Dame de Gosnai,"<p><b>Dame de Gosnai</b> (fl. 1200s CE) was a woman trouvère. She was a member of the Puy d'Arras, a society dedicated to competitions between courtly trouvères in 13th century Arras (in modern-day France).
</p><p>Her most famous work is a jeu-parti (a composition, usually in the form of a debate, written by two trouvères as interlocutors, who compose alternating verses) known ""Dame de Gosnai, gardez"". Her interlocutor was the trouvère Gillebert de Berneville.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Dame_de_Gosnai,False
"Gunnhild, Mother of Kings","<p class=""mw-empty-elt"">
</p>

<p><b>Gunnhildr konungamóðir</b> (<i>mother of kings</i>) or <b>Gunnhildr Gormsdóttir</b>, whose name is often Anglicised as <b>Gunnhild</b> (c. 910  –  c. 980), is a quasi-historical figure who appears in the Icelandic Sagas, according to which she was the wife of Eric Bloodaxe (King of Norway 930–934, King of Orkney c. 937–954, and King of Jórvík 948–49 and 952–954). She appears prominently in sagas such as <i>Fagrskinna</i>, <i>Egils saga</i>, <i>Njáls saga</i>, <i>Heimskringla</i>, and <i>Óláfs saga Tryggvasonar en mesta</i>.
</p><p>The sagas relate that Gunnhild lived during a time of great change and upheaval in Norway. Her father-in-law Harald Fairhair had recently united much of Norway under his rule. Shortly after his death, Gunnhild and her husband Eric Bloodaxe were overthrown and exiled. She spent much of the rest of her life in exile in Orkney, Jorvik and Denmark. A number of her many children with Eric became co-rulers of Norway in the late tenth century.
</p>",,Wikipedia,"https://en.wikipedia.org/wiki/Gunnhild,_Mother_of_Kings",False
Gwerful Fychan,"<p class=""mw-empty-elt"">

</p>

<p><b>Gwerful Fychan</b> (fl. 1420–1490) was a poet during the period of the Welsh <i>Beirdd yr Uchelwyr</i> during the Late Middle Ages. She came from a noble family, her full name in genealogies being given as Gwerful ferch Ieuan Fychan ap Ieuan ap Hywel y Gadair ap Gruffudd ap Madog ap Rhirid Flaidd. She was the heiress of the mansion of Caer-Gai, near Llanuwchllyn, Merioneth. The name Fychan was later anglicised as <i>Vaughan</i>.
</p><p>Gwerful was married to Tudur Penllyn, a drover and wool-trader but also a notable poet, and their son Ieuan also wrote poetry which survives in a number of sources. They may also have had a daughter, Gwenllian, though her poetic abilities have been harder to prove.
</p><p>No work definitely ascribed to Gwerful Fychan is known to survive, but the <i>cywydd</i> titled <i>Cywydd y March Glas</i> (the Grey Horse), sometimes ascribed either to Gwerful Mechain or Tudur Aled, has been suggested as her work. Some early antiquaries confuse her with Gwerful Mechain, who was a contemporary. Her memory persisted in the area of Llanuwchllyn as late as the 20th century and a variety of traditional verses were claimed as by her.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Gwerful_Fychan,False
Gwerful Mechain,"<p class=""mw-empty-elt"">

</p>

<p><b>Gwerful Mechain</b> (fl. 1460–1502), is the only female medieval Welsh poet from whom a substantial body of work is known to have survived. She is known for her erotic poetry, in which she praised the vulva among other things.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Gwerful_Mechain,False
Hadewijch,"<p><b>Hadewijch</b> (<span>Dutch pronunciation:</span> <span lang=""nl-Latn-fonipa"">[ˈɦaːdəʋɪx]</span>), sometimes referred to as <b>Hadewych</b> or <b>Hadewig</b> (<b>of</b> <b>Brabant</b> or <b>of Antwerp</b>), was a 13th-century poet and mystic, probably living in the Duchy of Brabant. Most of her extant writings are in a Brabantian form of Middle Dutch. Her writings include visions, prose letters and poetry. Hadewijch was one of the most important direct influences on John of Ruysbroeck. 
</p>

",,Wikipedia,https://en.wikipedia.org/wiki/Hadewijch,False
Hildr Hrólfsdóttir,"<p>
<b>Hildr</b> or <b>Ragnhildr</b> <b>Hrólfsdóttir</b> was a 9th-century woman who is referenced in various Old Norse sources including <i>Óláfs saga helga</i>, <i>Orkneyinga saga</i>, and <i>Landnámabók</i> and is also one of the few female skalds from whom verses survive. Her stories furthermore are depicted on several picture stones from Gotland.
</p><p>According to the sagas, Hild was the daughter of Rolv Nefia (<i>Hrólfr nefja</i>), jarl at Trondhjem (modern Trondheim).  In the <i>Orkneyinga saga</i>, the daughter of Rolv Nefia is called Ragnhild, although in the <i>Heimskringla</i> she is called Hild.  Her father used to go on viking expeditions. One summer he plundered in Vík. This aroused King Harald Fairhair's anger and he was banished. Hild  appealed unsuccessfully for clemency for her father. On this occasion she composed a skaldic stanza (<i>lausavísa</i>), which is one of the few examples of skaldic poetry composed by a woman that have come down to us.
</p><p>She was married to Rognvald Eysteinsson, who was the jarl of Møre. They had three sons: Ivar (<i>Ívarr</i>), Thorir (<i>Þórir</i>), and Rolv (<i>Hrólfr</i>).  Thorir succeeded his father as jarl of Møre. Rolv (<i>Hrólfr</i>), nicknamed <i>Gǫngu-Hrólfr</i> (Rolv the Walker), became known as Rollo of Normandy. The death of Ivar during an earlier campaign in support of King Harald Fairhair resulted in the Northern Isles (<i>Norðreyar</i>) being gifted to his family as compensation. According to the <i>Historia Norvegiae</i>,  Rognvald's family conquered Orkney and the Shetland Islands in the late 9th century.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Hildr_Hr%C3%B3lfsd%C3%B3ttir,False
