author,original_text,date,source_name,source_link,validated
Hrotsvitha,"<p><b>Hrotsvitha</b> (<abbr title=""circa"">c.</abbr><span> 935</span>–973) was a secular canoness who wrote drama and Christian poetry under the Ottonian dynasty. She was born in Bad Gandersheim to Saxon nobles and entered Gandersheim Abbey as a canoness. She is considered the first female writer from the Germanosphere, the first person since the Fall of the Roman Empire to write dramas in the Latin West, and the first German female poet.
</p><p>Hrotsvitha's six short dramas are considered to be her most important works. She is one of the few women who wrote about her life during the early Middle Ages, making her one of the only people to record a history of women in that era from a woman's perspective. She has been called ""the most remarkable woman of her time"", and an important figure in the history of women.
</p><p>Little is known about Hrotsvitha's personal life. All of her writing is in Medieval Latin. Her works were rediscovered in 1501 by the humanist Conrad Celtes and translated into English in the 1600s.
</p><p>Hrotsvitha's name (Latin: <i>Hrotsvitha Gandeshemensis</i>) appears in various forms including: <b>Hrotsvit</b>, <b>Hrosvite</b>, <b>Hroswitha</b>, <b>Hroswithe</b>, <b>Rhotswitha</b>, <b>Roswit</b>, <b>Roswindis</b> and <b>Roswitha</b>. It means ""a mighty shout"", and speaks to the way she wanted to glorify Christian heroes and legends, as well as the values they represent. Some have commented on how this either represents or conflicts with the personality presented in her writing.
</p><p>While many have questioned the authenticity of Hrotsvitha's work, examinations and collections of her works, coupled with multiple historical and contemporary works that speak of her, demonstrate that Hrotsvitha's work is authentic. Feminist scholars have argued that this questioning of the authenticity of Hrotsvitha's work reflects a sexist narrative rather than revealing a flaw in her work or that she did not exist, as individuals have been engaging with her work for hundreds of years, and with increased intensity since her rediscovery during the German Renaissance.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Hrotsvitha,False
Al-Hujayjah,"<p><b>Al-Ḥujayjah</b> (Arabic: <span lang=""ar"" dir=""rtl"">الحجيجة</span>), also known as <b>Safīyah bint Thaʻlabah al-Shaybānīyah</b> (Arabic: <span lang=""ar"" dir=""rtl"">صفية بنت ثعلبة الشيبانية</span>) was a pre-Islamic poet of the Banū Shaybān tribe, noted for her work in the genre of taḥrīḍ (incitement to vengeance). Her dates of birth and death are unknown, and even her historicity is open to question. But she seems to have granted protection to al-Ḥurqah bint al-Nuʻmān when Khosrow II (r. 590-628) demanded her in marriage from her father al-Nu'man III ibn al-Mundhir around the beginning of the seventh century, and her surviving corpus relates to the Battle of Dhū-Qār in c. 609. Characterised as a 'warrior diplomat', she has been read as a key figure in pre-Islamic poetry.
</p><p>As with other supposedly pre-Islamic poetry, there has been scholarly debate over whether Al-Ḥujayjah's work might actually have been fabricated later in the medieval period (even if she herself was real). It survives only in Bishr ibn Marwān al-Asadī's collection <i>Ḥarb Banī Shaybān maʻa Kisrá Ānūshirwān</i> (Arabic: <span lang=""ar"" dir=""rtl"">حرب بني شيبان مع كسرى آنوشروان</span>), which identifies Al-Ḥujayjah's father as Thaʻlabah al-Shaybānī. It is plausible that the poetry was composed in the Abbasid period to encourage ethnic Arabs to resist the claims for parity of status within the Caliphate by Persian members, known as the Shu'ubiyya movement.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Al-Hujayjah,False
Iseut de Capio,"<p><b>Iseut de Capio</b> (born <abbr title=""circa"">c.</abbr><span> 1140</span>) was a noblewoman and trobairitz from Gévaudan. She was a neighbour and contemporary of the trobairitz Almucs de Castelnau, with whom she shared the composition of a <i>tenso</i>. It is her only surviving piece of work.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Iseut_de_Capio,False
Jórunn skáldmær,"<p><b>Jórunn skáldmær</b> (""poet-maiden"") was a Norwegian skald active in the first half of the 10th century. Only two stanzas and three half-stanzas of her <i>Sendibítr</i> (""Biting message"") were preserved, mostly in Snorri Sturluson's works, such as <i>Saga of Harald Fairhair</i> and <i>Skáldskaparmál</i>. The <i>Sendibítr</i>, which deals with a conflict between Harald Fairhair and his son Halfdan the Black, is the longest recorded skaldic poem composed by a woman.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/J%C3%B3runn_sk%C3%A1ldm%C3%A6r,False
Al-Khirniq bint Badr,"<p><b>Al-Khirniq bint Badr ibn Hiffān</b> (or Haffān; Arabic: <span lang=""ar"" dir=""rtl"">الخرنق بنت بدر بن هفان</span>; died <abbr title=""circa"">c.</abbr><span> 600</span>) was an early Arabic elegiac poet. She was half-sister or aunt to the poet Tarafa ibn al'Abd.
</p><p>Al-Khirniq's surviving <i>diwan</i> extends to somewhat under sixty lines, mostly preserved in the work of Abu 'Amr ibn al-'Ala'. Her known elegies are addressed to relatives, including her brother and her husband Bishr ibn 'Amr, who was slain by neighboring tribe on Mount Qudab.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Al-Khirniq_bint_Badr,False
Lorete,"<p><b>Lorete</b> was a trouvère, one of only eight women composers of Old French lyric poetry known by name. She is known only by her given name. Her only known work, preserved in a single manuscript, is <i>Lorete, suer, par amor</i> (""Lorete, sister, in the name of love""), a <i>jeu parti</i> (debate song) between her and an unnamed ""sister"". It has features of the Lorrain dialect.
</p><p>Lorete's debate concerns the merits of two men who are seeking to marry her. Lorete prefers the one who is coy and approaches her indirectly through her friends, but her ""sister"" defends the man who openly declares his love for her, comparing the other man to a sneaky Reynard the Fox. 
The poem was submitted to the judgement of two other women: the countess of Leiningen, Jeanne d'Aspremont, and her sister, Mahaut, dame of Commercy. These women were well known in trouvère circles and Jacques Bretel records both them at the Tournament of Chauvency in October 1285, although Jeanne was only a countess from 1282 to 1316 and Mahaut the dame of Commercy from 1305 to 1329.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Lorete,False
Lubna of Córdoba,"<p class=""mw-empty-elt"">
</p>


<p><b>Lubna of Córdoba</b> (Lubna Al-Qortobia, Arabic: <span lang=""ar"" dir=""rtl"">لبنى القرطبية</span>) was an Andalusian intellectual, mathematician and poet of the second half of the 10th century known for the quality of her writing and her excellence in the sciences. Lubna was born into slavery and raised within the Madīnat al-Zahrā palace. She then pursued a career within the palace as part of Al-Hakam II's team of copyists.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Lubna_of_C%C3%B3rdoba,False
Battista Malatesta,"<p><b>Battista Malatesta</b> (<abbr title=""circa"">c.</abbr><span> 1384</span> – 1448), also known as <b>Battista di Montefeltro</b>, forename also called <b>Baptista</b>, was an Italian Renaissance poet.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Battista_Malatesta,False
Dame Margot (trouvère),"<p><b>Dame Margot</b> (<i>fl.</i> 13th century) was a trouvère from Arras, in Picardy, France. One extant work of hers is <i>jeu parti</i>, a debate song, in which she debates Dame Maroie. This song, ""Je vous pri, dame Maroie,"" survives in two manuscripts, which each give separate and unrelated melodies. In another <i>jeu parti</i> she is a judge, opposing Jehan le Cuvelier d'Arras and Jehan Bretel. She is listed as a member of the Puy d'Arras.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Dame_Margot_(trouv%C3%A8re),False
Marie de France,"<p><b>Marie de France</b> (fl. 1160–1215) was a poet, likely born in France, who lived in England during the late 12th century. She lived and wrote at an unknown court, but she and her work were almost certainly known at the royal court of King Henry II of England. Virtually nothing is known of her life; both her given name and its geographical specification come from manuscripts containing her works. However, one written description of her work and popularity from her own era still exists. She is considered by scholars to be the first woman known to write francophone verse.
</p><p>Marie de France wrote in Old French, possibly the Anglo-Norman variety. She was proficient in Latin, as were most authors and scholars of that era, as well as Middle English and possibly Breton. She is the author of the <i>Lais of Marie de France</i>. She translated Aesop's Fables from Middle English into Anglo-Norman French and wrote <i>Espurgatoire seint Partiz</i>, <i>Legend of the Purgatory of St. Patrick</i>, based upon a Latin text. Recently, she has been (tentatively) identified as the author of a saint's life, <i>The Life of Saint Audrey</i>. Her <i>Lais</i> were and still are widely read and influenced the subsequent development of the romance/heroic literature genre.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Marie_de_France,False
Dame Maroie,"<p><b>Dame Maroie</b> or <b>Maroie de Dregnau/Dergnau de Lille</b> (<i>fl.</i> 13th century) was a trouvère from Arras, in Artois, France. 
</p><p>She was identified as the Maroie de Dregnau de Lille from whom a single strophe of a single chanson remains, ""Mout m'abelist quant je voi revenir"" (in a typical trouvère form, ABABCDE), along with its music. 
</p><p>She debates Dame Margot in a <i>jeu parti</i>, or debate song, ""Je vous pri, dame Maroie."" This song survives in two manuscripts, which each give separate and unrelated melodies. Dame Maroie is the addressee in a grand chant by Andrieu Contredit d'Arras. 
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Dame_Maroie,False
Sainte des Prez,"<p><b>Sainte des Prez</b> was a trouvère probably from Le Prés in La Ferté-sous-Jouarre and active in the 13th century.
</p><p>Nothing is known about her beyond what can be deduced from her name. She shares her toponymic surname with Gui des Prés, named in a chansonnier from Siena as the composer of a song elsewhere attributed to Perrin d'Angicourt and who himself may be identical with Guy des Prés, bishop of Noyon from 1272 to 1296. In 1581, Claude Fauchet included Sainte des Prez in his catalogue of French poets from before 1300.
</p><p>Sainte probably belonged to the school of trouvères centred on Arras. She wrote a <i>jeu-parti</i> with the otherwise unknown lady of La Chaucie, probably La Chaussée in Crouy-sur-Ourcq. This is her only surviving work. It has Picard dialectal features. She opens the poetic exchange with the line ""<i>Que ferai je, dame de la Chaucie</i>"" (What shall I do, Lady of Chaucie) by which the song is conventionally known. In her response, the lady (<i>dame</i>) addresses Sainte as <i>damoisele</i> (maiden), meaning unmarried. The subject of their debate is how a woman ought to behave when a man declares his love for her. The older and more experienced married lady recommends letting the man have his say, but Sainte is afraid of being seduced by flattery.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Sainte_des_Prez,False
Saionji Kishi,"<p class=""mw-empty-elt"">
</p>


<p><b>Saionji Kishi</b><span> (<span title=""Japanese-language text""><span lang=""ja"">西園寺 禧子</span></span>; ? – 19 November 1333)</span>, or more formally <b>Fujiwara no Kishi</b><span> (<span title=""Japanese-language text""><span lang=""ja"">藤原 禧子</span></span>)</span>, was an empress consort of Japan. She was the consort of Emperor Go-Daigo of Japan. She was given the regnal name (join-gō<span> (<span title=""Japanese-language text""><span lang=""ja"">女院号</span></span>)</span>) <b>Reiseimon-in</b><span> (<span title=""Japanese-language text""><span lang=""ja"">礼成門院</span></span>)</span> in 1332 when her husband was banished, but it was abolished when he returned to the Chrysanthemum Throne in 1333. Later she was given the second regnal name <b>Go-Kyōgoku-in</b><span> (<span title=""Japanese-language text""><span lang=""ja"">後京極院</span></span>)</span> upon her death. She was also an excellent poet, 14 of whose <i>waka</i> poetry are included in <i>chokusen wakashū</i> (imperially-commissioned anthologies).
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Saionji_Kishi,False
Sarah of Yemen,"<p><b>Sarah of Yemen</b> (Arabic: <span lang=""ar"" dir=""rtl"">سارة</span>, fl. 6th century) is noted as one of the small number of female composers of pre-Islamic Arabic poetry known from the sixth century. It is possible that she was Jewish, in which case she is one of only three attested female medieval Jewish poets (the others being the anonymous, tenth-century wife of Dunash ben Labrat and the probably twelfth-century Qasmuna).
</p><p>The poem attributed to her survives in the tenth-century anthology named <i>Kitab al-Aghani</i>:

</p>

<p>The eulogy implies that Sarah was a member of the Banu Qurayza, commenting on their defeat by Muslims around 627. Little more is known about Sarah, but she 'reputedly participated in a guerrilla action against Muhammad before a Muslim agent killed her.'
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Sarah_of_Yemen,False
Steinunn Refsdóttir,"<p><b>Steinunn Refsdóttir</b> was an Icelandic skald active at the end of the 10th century. Two verses by her are preserved, in which she taunts the missionary Þangbrandr.
</p><p>The daughter of Refr <i>hinn mikill</i> (""the Great"") and Finna, Steinunn was both descended from and married into a powerful family of heathen priest-chieftains (<i>goðar</i>). She was the mother of the skald Hofgarða-Refr Gestsson.
</p><p><i>Kristni saga</i> <small>(9)</small> and <i>Óláfs saga Tryggvasonar en mesta</i> <small>(216)</small> quote two skaldic verses (<i>lausavísur</i>) in which she taunts Þangbrandr, a missionary sent to Iceland by the Norwegian king Óláfr Tryggvason, attributing his shipwreck to the gods and especially Thor, with Christ having offered no help. <i>Brennu-Njáls saga</i> <small>(102)</small> has the verses in reverse order and adds that before speaking them, she told Þangbrandr he would be better off becoming a heathen: ""'Did you ever hear,' she asked, 'how Thor challenged Christ to a duel, and Christ did not dare to accept the challenge?'"" Here her verses are in answer to Þangbrandr's asking her who she thinks wrecked his ship, and she has the last word. These verses are among the few testimonies of pre-Christian skaldic poetry composed by a woman that have come down to us.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Steinunn_Refsd%C3%B3ttir,False
Trobairitz,"<p class=""mw-empty-elt"">
</p>


<p>The <i><b>trobairitz</b></i> (<span>Occitan pronunciation:</span> <span lang=""oc-Latn-fonipa"">[tɾuβajˈɾits]</span>) were Occitan female troubadours of the 12th and 13th centuries, active from around 1170 to approximately 1260. <i>Trobairitz</i> is  both singular and plural.
</p><p>The word <i>trobairitz</i> is first attested in the 13th-century romance <i>Flamenca</i>. It comes from the Provençal word <i>trobar</i>, the literal meaning of which is ""to find"", and the technical meaning of which is ""to compose"". The word <i>trobairitz</i> is used very rarely in medieval Occitan, as it does not occur in lyrical poetry, grammatical treatises or in the biographies (<i>vidas</i>) of the <i>trobairitz</i> or troubadours. It does occur in the treatise <i>Doctrina d'acort</i> by Terramagnino da Pisa, written between 1282 and 1296. He uses it as an example of a word the plural and singular of which are the same.
</p><p><i>Trobairitz</i> composed, wrote verses, and performed for the Occitan noble courts. They are exceptional in musical history as the first known female composers of Western secular music; all earlier known female composers wrote sacred music. The <i>trobairitz</i> were part of courtly society, as opposed to their lower class counterparts the <i>joglaressas</i>. Although troubadours sometimes came from humble origins—Bernart de Ventadorn might have been the son of a castle's baker—the <i>trobairitz</i> were usually nobly born. The most important <i>trobairitz</i> were Alamanda de Castelnau, Azalais de Porcairagues, Maria de Ventadorn, Tibors de Sarenom, Castelloza, Garsenda de Proença, Gormonda de Monpeslier, and the Comtessa de Diá.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Trobairitz,False
Zaynab al-Mariyya,"<p><b>Zaynab al-Mariyya</b> (<abbr title=""circa"">c.</abbr><span> 11th–13th centuries</span>) was an <i>adība</i> (woman of letters) and poet, most likely born in Almería, Andalusia, Spain.
</p><p>Among Andalusian women poets, she left behind some of the fewest details of her life. Her surname implies that she was born in Almería, and the lack of a known lineage could indicate that she was a slave.
</p><p>She is mentioned by the scholar Ibn Abd al-Malik al-Marrakushi, which means she lived before his time, possibly in the 11th or 12th century, as that was the height of economic and cultural splendor in Taifa of Almería under the reign of Abu Yahya Muhammad al-Mutasim. This would make Zaynab al-Mariyya a contemporary of al-Gassaniyya, another female poet in Almería.
</p><p>Of her work, only one poem remains, a courtly love poem:
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Zaynab_al-Mariyya,False
Category:Medieval Arab women poets,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_Arab_women_poets,False
Category:Women poets of the medieval Islamic world,"<p>Women poets who lived under the rule of Islam during the Middle Ages, irrespective of their religion, ethnicity or language.</p>",,Wikipedia,https://en.wikipedia.org/wiki/Category:Women_poets_of_the_medieval_Islamic_world,False
Category:Trobairitz,<ul><li><b>Trobairitz</b> —  Medieval women <b>troubadours</b> during the High Middle Ages in Medieval Occitania.</li></ul>,,Wikipedia,https://en.wikipedia.org/wiki/Category:Trobairitz,False
Category:Women writers of the medieval Islamic world,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Women_writers_of_the_medieval_Islamic_world,False
Category:Medieval women poets,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_women_poets,False
Category:6th-century women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:6th-century_women_writers,False
Category:7th-century women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:7th-century_women_writers,False
Category:8th-century women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:8th-century_women_writers,False
Category:9th-century women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:9th-century_women_writers,False
Category:10th-century women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:10th-century_women_writers,False
Category:11th-century women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:11th-century_women_writers,False
Category:12th-century women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:12th-century_women_writers,False
Category:13th-century women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:13th-century_women_writers,False
Category:14th-century women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:14th-century_women_writers,False
Category:15th-century women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:15th-century_women_writers,False
Category:Medieval Armenian women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_Armenian_women_writers,False
Category:Medieval Austrian women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_Austrian_women_writers,False
Category:Byzantine women writers,"<p>Women writers of the Byzantine Empire.
</p>",,Wikipedia,https://en.wikipedia.org/wiki/Category:Byzantine_women_writers,False
Category:Medieval English women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_English_women_writers,False
Category:Medieval French women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_French_women_writers,False
Category:Medieval German women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_German_women_writers,False
Category:Medieval Hungarian women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_Hungarian_women_writers,False
Category:Medieval Italian women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_Italian_women_writers,False
Category:Medieval Portuguese women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_Portuguese_women_writers,False
Category:Medieval Scottish women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_Scottish_women_writers,False
Category:Medieval Spanish women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_Spanish_women_writers,False
Category:Medieval Swedish women writers,,,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_Swedish_women_writers,False
Category:Medieval Welsh women writers,"<p>Women writers from Wales in the Middle Ages (411–1542), from the withdrawal of the Roman garrison in Roman Britain to the annexation of Wales to the Kingdom of England.</p>",,Wikipedia,https://en.wikipedia.org/wiki/Category:Medieval_Welsh_women_writers,False
